Name,Date,Followers,,,,,,,,,,,,,,,,
John Delaney,6/14/19,0.022,,,,,,,,,,,,,,,,
John Hickenlooper,6/14/19,0.146,,,,,,,,,,,,,,,,
Julian Castro,6/14/19,0.218,,,,,,,,,,,,,,,,
Kamala Harris,6/14/19,2.705,,,,,,,,,,,,,,,,
Kirsten Gillibrand,6/14/19,1.424,,,,,,,,,,,,,,,,
Marianne Williamson,6/14/19,2.615,,,,,,,,,,,,,,,,
Michael Bennet,6/14/19,0.0229,,,,,,,,,,,,,,,,
Mike Gravel,6/14/19,0.0958,,,,,,,,,,,,,,,,
Pete Buttigieg,6/14/19,1.133,,,,,,,,,,,,,,,,
Seth Moulton,6/14/19,0.143,,,,,,,,,,,,,,,,
Steve Bullock,6/14/19,0.175,,,,,,,,,,,,,,,,
Tim Ryan,6/14/19,0.0216,,,,,,,,,,,,,,,,
Tulsi Gabbard,6/14/19,0.376,,,,,,,,,,,,,,,,
Amy Klobuchar,6/21/19,0.705,,,,,,,,,,,,,,,,
Andrew Yang,6/21/19,0.314,,,,,,,,,,,,,,,,
Bernie Sanders,6/21/19,9.322,,,,,,,,,,,,,,,,
Beto O'Rourke,6/21/19,1.433,,,,,,,,,,,,,,,,
Bill De Blasio,6/21/19,0.157,,,,,,,,,,,,,,,,
Cory Booker,6/21/19,4.259,,,,,,,,,,,,,,,,
Elizabeth Warren,6/21/19,5.075,,,,,,,,,,,,,,,,
Eric Swalwell,6/21/19,0.0925,,,,,,,,,,,,,,,,
Jay Inslee,6/21/19,0.0643,,,,,,,,,,,,,,,,
Joe Biden,6/21/19,3.602,,,,,,,,,,,,,,,,
John Delaney,6/21/19,0.0223,,,,,,,,,,,,,,,,
John Hickenlooper,6/21/19,0.146,,,,,,,,,,,,,,,,
Julian Castro,6/21/19,0.22,,,,,,,,,,,,,,,,
Kamala Harris,6/21/19,2.715,,,,,,,,,,,,,,,,
Kirsten Gillibrand,6/21/19,1.425,,,,,,,,,,,,,,,,
Marianne Williamson,6/21/19,2.616,,,,,,,,,,,,,,,,
Michael Bennet,6/21/19,0.0231,,,,,,,,,,,,,,,,
Mike Gravel,6/21/19,0.0985,,,,,,,,,,,,,,,,
Pete Buttigieg,6/21/19,1.147,,,,,,,,,,,,,,,,
Seth Moulton,6/21/19,0.143,,,,,,,,,,,,,,,,
Steve Bullock,6/21/19,0.175,,,,,,,,,,,,,,,,
Tim Ryan,6/21/19,0.0219,,,,,,,,,,,,,,,,
Tulsi Gabbard,6/21/19,0.379,,,,,,,,,,,,,,,,
Amy Klobuchar,6/25/19,0.706,,,,,,,,,,,,,,,,
Andrew Yang,6/25/19,0.336,,,,,,,,,,,,,,,,
Bernie Sanders,6/25/19,9.332,,,,,,,,,,,,,,,,
Beto O'Rourke,6/25/19,1.433,,,,,,,,,,,,,,,,
Bill De Blasio,6/25/19,0.157,,,,,,,,,,,,,,,,
Cory Booker,6/25/19,4.259,,,,,,,,,,,,,,,,
